Model	Precision	Recall	F1
MedQA_seq2seq/mt5-base	0.7012899109864947	0.7914820285573609	0.7399014959934787
MedQA_seq2seq/mt5-large	0.7982631977500199	0.8569670113244707	0.8257977595731021
MedQA_seq2seq/mt5-xl	0.8500537453561013	0.8840472673559823	0.8663098437919877

MedQA_seq2seq_Q/mt5-base	0.8724444805184204	0.9011776753712237	0.8865077247950198
MedQA_seq2seq_Q/mt5-large	0.8850947624498403	0.9078341013824884	0.896284144946943
MedQA_seq2seq_Q/mt5-xl	0.9188895611846768	0.9293394777265745	0.9239636124189122
MedQA_seq2seq_A/mt5-base	0.7016235368018433	0.8544333807491702	0.7701018056696388
MedQA_seq2seq_A/mt5-large	0.8020067373882985	0.9051683262209578	0.8500322442729495
MedQA_seq2seq_A/mt5-xl	0.8746617471754158	0.9004267425320057	0.8870677029470313

MedQA_seq2seq_A/mt5-base	0.7443034368723276	0.8323485967503693	0.7840956642943545
MedQA_seq2seq_A/mt5-large	0.8000780976914563	0.8668143771541112	0.8310936351994759
MedQA_seq2seq_A/mt5-xl	0.8598798379604855	0.8833087149187593	0.871139374054599
